Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Arsenal,Bernd Leno,1,Goalkeeper,Germany ,12,2,,
Arsenal,Emiliano Martínez,26,Goalkeeper,Argentina ,0,0,,
Arsenal,Matt Macey,33,Goalkeeper,England ,0,0,,
Arsenal,Héctor Bellerín,2,Defender,Spain ,1,0,0,
Arsenal,Sokratis,5,Defender,Greece ,11,2,1,
Arsenal,Rob Holding,16,Defender,England ,1,0,0,
Arsenal,Shkodran Mustafi,20,Defender,Germany ,0,0,0,
Arsenal,Konstantinos Mavropanos,27,Defender,Greece ,0,0,0,
Arsenal,Sead Kolasinac,31,Defender,Bosnia And Herzegovina ,10,1,0,
Arsenal,Calum Chambers,21,Defender,England ,8,2,1,
Arsenal,Kieran Tierney,3,Defender,Scotland ,2,0,0,
Arsenal,David Luiz,23,Defender,Brazil ,11,1,2,
Arsenal,Tolaji Bola,40,Defender,England ,0,0,0,
Arsenal,Mesut Özil,10,Midfielder,Germany ,3,,0,0
Arsenal,Lucas Torreira,11,Midfielder,Uruguay ,9,,1,0
Arsenal,Ainsley Maitland-Niles,15,Midfielder,England ,6,,0,2
Arsenal,Matteo Guendouzi,29,Midfielder,France ,12,,0,1
Arsenal,Granit Xhaka,34,Midfielder,Switzerland ,9,,0,1
Arsenal,Joe Willock,28,Midfielder,England ,9,,0,0
Arsenal,Emile Smith Rowe,32,Midfielder,England ,0,,0,0
Arsenal,Gabriel Martinelli,35,Midfielder,Brazil ,4,,0,0
Arsenal,Dani Ceballos,8,Midfielder,Spain ,11,,0,2
Arsenal,Robbie Burton,41,Midfielder,Wales ,0,,0,0
Arsenal,Alexandre Lacazette,9,Forward,France ,7,,2,1
Arsenal,Pierre-Emerick Aubameyang,14,Forward,Gabon ,12,,8,0
Arsenal,Reiss Nelson,24,Forward,England ,4,,0,0
Arsenal,Nicolas Pépé,19,Forward,Cote D'Ivoire ,11,,1,2
Arsenal,Bukayo Saka,77,Forward,England ,6,,0,1
Arsenal,Folarin Balogun,38,Forward,England ,0,,0,0
