Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Aston-Villa,Ørjan Nyland,25,Goalkeeper,Norway ,1,0,,
Aston-Villa,Jed Steer,12,Goalkeeper,England ,1,0,,
Aston-Villa,Lovre Kalinic,28,Goalkeeper,Croatia ,0,0,,
Aston-Villa,Tom Heaton,1,Goalkeeper,England ,11,2,,
Aston-Villa,Neil Taylor,3,Defender,Wales ,8,2,0,
Aston-Villa,James Chester,5,Defender,Wales ,0,0,0,
Aston-Villa,Ahmed El Mohamady,27,Defender,Egypt ,6,0,0,
Aston-Villa,Frederic Guilbert,24,Defender,France ,10,1,0,
Aston-Villa,Matt Targett,18,Defender,England ,6,0,1,
Aston-Villa,Kortney Hause,30,Defender,England ,0,0,0,
Aston-Villa,Tyrone Mings,40,Defender,England ,12,2,0,
Aston-Villa,Ezri Konsa Ngoyo,15,Defender,England ,2,0,0,
Aston-Villa,Björn Engels,22,Defender,Belgium ,11,2,0,
Aston-Villa,John McGinn,7,Midfielder,Scotland ,12,,3,2
Aston-Villa,Henri Lansbury,8,Midfielder,England ,3,,0,0
Aston-Villa,Jack Grealish,10,Midfielder,England ,10,,2,3
Aston-Villa,Conor Hourihane,14,Midfielder,Ireland ,7,,1,1
Aston-Villa,Jota,23,Midfielder,Spain ,5,,0,1
Aston-Villa,Anwar El Ghazi,21,Midfielder,Netherlands ,11,,2,3
Aston-Villa,Trézéguet,17,Midfielder,Egypt ,11,,2,1
Aston-Villa,Douglas Luiz,6,Midfielder,Brazil ,10,,2,0
Aston-Villa,Marvelous Nakamba,11,Midfielder,Zimbabwe ,8,,0,0
Aston-Villa,Jacob Ramsey,41,Midfielder,England ,0,,0,0
Aston-Villa,Keinan Davis,39,Forward,England ,6,,0,0
Aston-Villa,Jonathan Kodjia,22,Forward,Cote D'Ivoire ,2,,0,0
Aston-Villa,Wesley,9,Forward,Brazil ,12,,4,1
Aston-Villa,Cameron Archer,51,Forward,England ,0,,0,0
