Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Bournemouth,Artur Boruc,1,Goalkeeper,Poland ,0,0,,
Bournemouth,Mark Travers,42,Goalkeeper,Ireland ,0,0,,
Bournemouth,Aaron Ramsdale,12,Goalkeeper,England ,12,3,,
Bournemouth,William Dennis,40,Goalkeeper,England ,0,0,,
Bournemouth,Simon Francis,2,Defender,England ,3,0,0,
Bournemouth,Steve Cook,3,Defender,England ,12,3,0,
Bournemouth,Nathan Aké,5,Defender,Netherlands ,12,3,1,
Bournemouth,Charlie Daniels,11,Defender,England ,2,0,0,
Bournemouth,Adam Smith,15,Defender,England ,8,3,0,
Bournemouth,Diego Rico,21,Defender,Spain ,9,3,0,
Bournemouth,Jack Simpson,25,Defender,England ,0,0,0,
Bournemouth,Chris Mepham,33,Defender,Wales ,4,0,1,
Bournemouth,Lloyd Kelly,26,Defender,England ,0,0,0,
Bournemouth,Brad Smith,14,Defender,Australia ,0,0,0,
Bournemouth,Jack Stacey,17,Defender,England ,4,0,0,
Bournemouth,Jordan Zemura,29,Defender,England ,0,0,0,
Bournemouth,Corey Jordan,-,Defender,England ,0,0,0,
Bournemouth,Dan Gosling,4,Midfielder,England ,0,,0,0
Bournemouth,Andrew Surman,6,Midfielder,England ,3,,0,0
Bournemouth,Jefferson Lerma,8,Midfielder,Colombia ,10,,0,0
Bournemouth,Jordon Ibe,10,Midfielder,England ,2,,0,0
Bournemouth,Lewis Cook,16,Midfielder,England ,6,,0,0
Bournemouth,Junior Stanislas,19,Midfielder,England ,0,,0,0
Bournemouth,David Brooks,20,Midfielder,Wales ,0,,0,0
Bournemouth,Ryan Fraser,24,Midfielder,Scotland ,11,,1,2
Bournemouth,Matt Butcher,36,Midfielder,England ,0,,0,0
Bournemouth,Mihai-Alexandru Dobre,54,Midfielder,Romania ,0,,0,0
Bournemouth,Philip Billing,29,Midfielder,Denmark ,12,,0,1
Bournemouth,Harry Wilson,22,Midfielder,Wales ,11,,4,0
Bournemouth,Gavin Kilkenny,53,Midfielder,Ireland ,0,,0,0
Bournemouth,Callum Wilson,13,Forward,England ,12,,5,0
Bournemouth,Joshua King,7,Forward,Norway ,12,,3,2
Bournemouth,Dominic Solanke,9,Forward,England ,11,,0,0
Bournemouth,Arnaut Danjuma Groeneveld,14,Forward,Netherlands ,5,,0,0
