Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Brighton-and-Hove-Albion,Mat Ryan,1,Goalkeeper,Australia ,12,4,,
Brighton-and-Hove-Albion,Jason Steele,23,Goalkeeper,England ,0,0,,
Brighton-and-Hove-Albion,David Button,27,Goalkeeper,England ,0,0,,
Brighton-and-Hove-Albion,Gaëtan Bong,3,Defender,Cameroon ,4,0,0,
Brighton-and-Hove-Albion,Shane Duffy,4,Defender,Ireland ,7,1,1,
Brighton-and-Hove-Albion,Lewis Dunk,5,Defender,England ,12,4,1,
Brighton-and-Hove-Albion,Leon Balogun,14,Defender,Nigeria ,0,0,0,
Brighton-and-Hove-Albion,Martín Montoya,22,Defender,Spain ,11,4,0,
Brighton-and-Hove-Albion,Bernardo,30,Defender,Brazil ,2,0,0,
Brighton-and-Hove-Albion,Dan Burn,33,Defender,England ,12,4,0,
Brighton-and-Hove-Albion,Ezequiel Schelotto,21,Defender,Italy ,2,0,0,
Brighton-and-Hove-Albion,Adam Webster,15,Defender,England ,8,2,1,
Brighton-and-Hove-Albion,Tudor Baluta,28,Defender,Romania ,0,0,0,
Brighton-and-Hove-Albion,Warren O'Hora,-,Defender,Ireland ,0,0,0,
Brighton-and-Hove-Albion,Archie Davies,-,Defender,England ,0,0,0,
Brighton-and-Hove-Albion,Romaric Yapi,-,Defender,France ,0,0,0,
Brighton-and-Hove-Albion,Alex Cochrane,50,Defender,England ,0,0,0,
Brighton-and-Hove-Albion,Haydon Roberts,58,Defender,England ,0,0,0,
Brighton-and-Hove-Albion,Dale Stephens,6,Midfielder,England ,12,,0,0
Brighton-and-Hove-Albion,Yves Bissouma,8,Midfielder,Mali ,3,,0,0
Brighton-and-Hove-Albion,Pascal Groß,13,Midfielder,Germany ,12,,1,2
Brighton-and-Hove-Albion,Solly March,20,Midfielder,England ,7,,0,1
Brighton-and-Hove-Albion,Davy Pröpper,24,Midfielder,Netherlands ,10,,0,1
Brighton-and-Hove-Albion,Leandro Trossard,11,Midfielder,Belgium ,6,,2,1
Brighton-and-Hove-Albion,Aaron Mooy,18,Midfielder,Australia ,6,,0,0
Brighton-and-Hove-Albion,Peter Gwargis,-,Midfielder,Sweden ,0,,0,0
Brighton-and-Hove-Albion,Taylor Richards,-,Midfielder,England ,0,,0,0
Brighton-and-Hove-Albion,Jack Spong,-,Midfielder,England ,0,,0,0
Brighton-and-Hove-Albion,Teddy Jenks,-,Midfielder,England ,0,,0,0
Brighton-and-Hove-Albion,Andrew Crofts,48,Midfielder,Wales ,0,,0,0
Brighton-and-Hove-Albion,Jordan Davies,51,Midfielder,Wales ,0,,0,0
Brighton-and-Hove-Albion,Ryan Longman,61,Midfielder,England ,0,,0,0
Brighton-and-Hove-Albion,Alireza Jahanbakhsh,16,Forward,Iran ,0,,0,0
Brighton-and-Hove-Albion,Glenn Murray,17,Forward,England ,9,,0,0
Brighton-and-Hove-Albion,José Izquierdo,19,Forward,Colombia ,0,,0,0
Brighton-and-Hove-Albion,Neal Maupay,7,Forward,France ,12,,4,0
Brighton-and-Hove-Albion,Aaron Connolly,44,Forward,Ireland ,9,,2,0
Brighton-and-Hove-Albion,Steven Alzate,46,Forward,Colombia ,7,,0,0
Brighton-and-Hove-Albion,Bojan Radulovic Samoukovic,-,Forward,Serbia ,0,,0,0
