Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Burnley,Joe Hart,20,Goalkeeper,England ,0,0,,
Burnley,Nick Pope,1,Goalkeeper,England ,12,4,,
Burnley,Adam Legzdins,30,Goalkeeper,England ,0,0,,
Burnley,Bailey Peacock-Farrell,15,Goalkeeper,Northern Ireland ,0,0,,
Burnley,Matthew Lowton,2,Defender,England ,11,3,0,
Burnley,Charlie Taylor,3,Defender,England ,3,1,0,
Burnley,James Tarkowski,5,Defender,England ,12,4,0,
Burnley,Ben Mee,6,Defender,England ,12,4,0,
Burnley,Ben Gibson,14,Defender,England ,0,0,0,
Burnley,Phil Bardsley,26,Defender,Scotland ,1,1,0,
Burnley,Kevin Long,28,Defender,Ireland ,0,0,0,
Burnley,Joel Senior,-,Defender,England ,0,0,0,
Burnley,Erik Pieters,23,Defender,Netherlands ,11,2,0,
Burnley,Jack Cork,4,Midfielder,England ,10,,0,0
Burnley,Johann Gudmundsson,7,Midfielder,Iceland ,4,,1,0
Burnley,Robbie Brady,12,Midfielder,Ireland ,6,,0,2
Burnley,Jeff Hendrick,13,Midfielder,Ireland ,9,,2,0
Burnley,Ashley Westwood,18,Midfielder,England ,12,,0,2
Burnley,Aaron Lennon,25,Midfielder,England ,8,,0,0
Burnley,Dwight McNeil,11,Midfielder,England ,12,,1,4
Burnley,Daniel Drinkwater,8,Midfielder,England ,0,,0,0
Burnley,Lewis Richardson,38,Midfielder,England ,0,,0,0
Burnley,Ashley Barnes,10,Forward,Austria ,11,,5,0
Burnley,Chris Wood,9,Forward,New Zealand ,10,,5,0
Burnley,Matej Vydra,27,Forward,Czech Republic ,4,,0,1
Burnley,Jay Rodriguez,19,Forward,England ,12,,2,0
