Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Chelsea,Kepa Arrizabalaga,1,Goalkeeper,Spain ,12,3,,
Chelsea,Willy Caballero,13,Goalkeeper,Argentina ,0,0,,
Chelsea,Jamie Cumming,31,Goalkeeper,England ,0,0,,
Chelsea,Antonio Rüdiger,2,Defender,Germany ,1,0,0,
Chelsea,Marcos Alonso,3,Defender,Spain ,7,2,1,
Chelsea,Andreas Christensen,4,Defender,Denmark ,6,1,0,
Chelsea,César Azpilicueta,28,Defender,Spain ,11,2,0,
Chelsea,Emerson,33,Defender,Italy ,7,1,0,
Chelsea,Reece James,24,Defender,England ,4,1,0,
Chelsea,Kurt Zouma,-,Defender,France ,11,2,0,
Chelsea,Fikayo Tomori,29,Defender,England ,9,3,1,
Chelsea,Marc Guehi,44,Defender,England ,0,0,0,
Chelsea,Ian Maatsen,63,Defender,Netherlands ,0,0,0,
Chelsea,Tariq Lamptey,48,Defender,England ,0,0,0,
Chelsea,Jorginho,5,Midfielder,Italy ,11,,1,2
Chelsea,N'Golo Kanté,7,Midfielder,France ,5,,2,0
Chelsea,Ross Barkley,8,Midfielder,England ,6,,0,0
Chelsea,Ruben Loftus-Cheek,12,Midfielder,England ,0,,0,0
Chelsea,Christian Pulisic,22,Midfielder,United States ,9,,5,2
Chelsea,Mateo Kovacic,17,Midfielder,Croatia ,12,,0,1
Chelsea,Mason Mount,19,Midfielder,England ,12,,4,1
Chelsea,Billy Gilmour,47,Midfielder,Scotland ,2,,0,0
Chelsea,Faustino Anjorin,55,Midfielder,England ,0,,0,0
Chelsea,Pedro,11,Forward,Spain ,3,,0,0
Chelsea,Olivier Giroud,18,Forward,France ,4,,0,0
Chelsea,Callum Hudson-Odoi,20,Forward,England ,6,,0,3
Chelsea,Willian,10,Forward,Brazil ,11,,2,3
Chelsea,Tammy Abraham,9,Forward,England ,12,,10,2
Chelsea,Isaiah Brown,37,Forward,England ,0,,0,0
Chelsea,Michy Batshuayi,23,Forward,Belgium ,7,,1,1
