Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Crystal-Palace,Wayne Hennessey,13,Goalkeeper,Wales ,2,0,,
Crystal-Palace,Vicente Guaita,31,Goalkeeper,Spain ,10,3,,
Crystal-Palace,Stephen Henderson,19,Goalkeeper,Ireland ,0,0,,
Crystal-Palace,Joel Ward,2,Defender,England ,12,3,0,
Crystal-Palace,Patrick van Aanholt,3,Defender,Netherlands ,12,3,2,
Crystal-Palace,James Tomkins,5,Defender,England ,4,0,0,
Crystal-Palace,Mamadou Sakho,12,Defender,France ,3,0,0,
Crystal-Palace,Jeffrey Schlupp,15,Defender,Ghana ,10,1,0,
Crystal-Palace,Martin Kelly,34,Defender,England ,7,2,0,
Crystal-Palace,Jairo Riedewald,44,Defender,Netherlands ,0,0,0,
Crystal-Palace,Nikola Tavares,32,Defender,England ,0,0,0,
Crystal-Palace,Sam Woods,35,Defender,England ,0,0,0,
Crystal-Palace,Scott Dann,6,Defender,England ,3,1,0,
Crystal-Palace,Gary Cahill,24,Defender,England ,10,2,0,
Crystal-Palace,Luka Milivojevic,4,Midfielder,Serbia ,11,,2,0
Crystal-Palace,Max Meyer,7,Midfielder,Germany ,4,,0,0
Crystal-Palace,Cheikhou Kouyaté,8,Midfielder,Senegal ,10,,0,0
Crystal-Palace,Andros Townsend,10,Midfielder,England ,10,,1,0
Crystal-Palace,James McArthur,18,Midfielder,Scotland ,11,,0,1
Crystal-Palace,Víctor Camarasa,-,Midfielder,Spain ,1,,0,0
Crystal-Palace,James McCarthy,-,Midfielder,Ireland ,9,,0,0
Crystal-Palace,Nya Kirby,39,Midfielder,England ,0,,0,0
Crystal-Palace,Wilfried Zaha,11,Forward,Cote D'Ivoire ,12,,0,1
Crystal-Palace,Christian Benteke,17,Forward,Belgium ,10,,0,0
Crystal-Palace,Connor Wickham,21,Forward,England ,2,,0,0
Crystal-Palace,Jordan Ayew,9,Forward,Ghana ,11,,4,0
