Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Everton,Jordan Pickford,1,Goalkeeper,England ,12,3,,
Everton,Maarten Stekelenburg,22,Goalkeeper,Netherlands ,0,0,,
Everton,Jonas Lössl,49,Goalkeeper,Denmark ,0,0,,
Everton,Leighton Baines,3,Defender,England ,0,0,0,
Everton,Michael Keane,5,Defender,England ,11,3,0,
Everton,Lucas Digne,12,Defender,France ,12,2,0,
Everton,Yerry Mina,13,Defender,Colombia ,11,2,0,
Everton,Séamus Coleman,23,Defender,Ireland ,8,2,0,
Everton,Mason Holgate,2,Defender,England ,5,0,0,
Everton,Cuco Martina,30,Defender,Curacao ,0,0,0,
Everton,Djibril Sidibé,19,Defender,France ,5,1,0,
Everton,Gylfi Sigurdsson,10,Midfielder,Iceland ,12,,1,1
Everton,Morgan Schneiderlin,18,Midfielder,France ,7,,0,0
Everton,Tom Davies,26,Midfielder,England ,6,,1,0
Everton,André Gomes,21,Midfielder,Portugal ,8,,0,0
Everton,Fabian Delph,8,Midfielder,England ,7,,0,0
Everton,Jean-Philippe Gbamin,25,Midfielder,Cote D'Ivoire ,2,,0,0
Everton,Beni Baningime,34,Midfielder,The Democratic Republic Of Congo ,0,,0,0
Everton,Bernard,20,Forward,Brazil ,8,,2,0
Everton,Theo Walcott,11,Forward,England ,9,,0,1
Everton,Cenk Tosun,14,Forward,Turkey ,3,,1,0
Everton,Dominic Calvert-Lewin,9,Forward,England ,10,,3,0
Everton,Richarlison,7,Forward,Brazil ,12,,3,2
Everton,Oumar Niasse,29,Forward,Senegal ,0,,0,0
Everton,Moise Kean,27,Forward,Italy ,9,,0,1
Everton,Alex Iwobi,17,Forward,Nigeria ,10,,1,0
Everton,Anthony Gordon,42,Forward,England ,0,,0,0
