Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Leicester-City,Kasper Schmeichel,1,Goalkeeper,Denmark ,12,5,,
Leicester-City,Danny Ward,12,Goalkeeper,Wales ,0,0,,
Leicester-City,Eldin Jakupovic,35,Goalkeeper,Switzerland ,0,0,,
Leicester-City,Ben Chilwell,3,Defender,England ,10,5,1,
Leicester-City,Çaglar Söyüncü,4,Defender,Turkey ,12,5,1,
Leicester-City,Wes Morgan,5,Defender,Jamaica ,3,0,0,
Leicester-City,Jonny Evans,6,Defender,Northern Ireland ,12,5,0,
Leicester-City,Ricardo Pereira,21,Defender,Portugal ,12,5,2,
Leicester-City,Christian Fuchs,28,Defender,Austria ,3,0,0,
Leicester-City,Daniel Amartey,18,Defender,Ghana ,0,0,0,
Leicester-City,James Justin,2,Defender,England ,0,0,0,
Leicester-City,Filip Benkovic,16,Defender,Croatia ,0,0,0,
Leicester-City,Demarai Gray,7,Midfielder,England ,8,,0,1
Leicester-City,James Maddison,10,Midfielder,England ,11,,4,2
Leicester-City,Marc Albrighton,11,Midfielder,England ,6,,0,1
Leicester-City,Harvey Barnes,15,Midfielder,England ,11,,1,4
Leicester-City,Matty James,22,Midfielder,England ,0,,0,0
Leicester-City,Nampalys Mendy,24,Midfielder,France ,1,,0,0
Leicester-City,Wilfred Ndidi,25,Midfielder,Nigeria ,11,,2,0
Leicester-City,Hamza Choudhury,20,Midfielder,England ,8,,0,1
Leicester-City,Youri Tielemans,8,Midfielder,Belgium ,12,,3,3
Leicester-City,Dennis Praet,26,Midfielder,Belgium ,8,,0,0
Leicester-City,Kelechi Iheanacho,14,Forward,Nigeria ,0,,0,0
Leicester-City,Jamie Vardy,9,Forward,England ,12,,11,2
Leicester-City,Ayoze Pérez,17,Forward,Spain ,11,,3,1
