Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Manchester-City,Claudio Bravo,1,Goalkeeper,Chile ,1,0,,
Manchester-City,Ederson,31,Goalkeeper,Brazil ,11,5,,
Manchester-City,Daniel Grimshaw,32,Goalkeeper,England ,0,0,,
Manchester-City,Scott Carson,33,Goalkeeper,England ,0,0,,
Manchester-City,Kyle Walker,2,Defender,England ,10,2,1,
Manchester-City,John Stones,5,Defender,England ,6,2,0,
Manchester-City,Aymeric Laporte,14,Defender,France ,4,1,0,
Manchester-City,Benjamin Mendy,22,Defender,France ,3,1,0,
Manchester-City,Nicolás Otamendi,30,Defender,Argentina ,8,1,1,
Manchester-City,Oleksandr Zinchenko,11,Defender,Ukraine ,7,2,0,
Manchester-City,Angeliño,12,Defender,Spain ,4,0,0,
Manchester-City,João Cancelo,27,Defender,Portugal ,5,2,0,
Manchester-City,Eric García,50,Defender,Spain ,1,0,0,
Manchester-City,Taylor Harwood-Bellis,72,Defender,England ,0,0,0,
Manchester-City,Alpha Richard Dionkou,88,Defender,Senegal ,0,0,0,
Manchester-City,Ilkay Gündogan,8,Midfielder,Germany ,11,,1,0
Manchester-City,Kevin De Bruyne,17,Midfielder,Belgium ,11,,2,9
Manchester-City,Bernardo Silva,20,Midfielder,Portugal ,11,,5,2
Manchester-City,David Silva,21,Midfielder,Spain ,11,,3,4
Manchester-City,Fernandinho,25,Midfielder,Brazil ,8,,0,0
Manchester-City,Phil Foden,47,Midfielder,England ,4,,0,0
Manchester-City,Rodrigo,16,Midfielder,Spain ,10,,1,0
Manchester-City,Adrián Bernabé,-,Midfielder,Spain ,0,,0,0
Manchester-City,Tommy Doyle,-,Midfielder,England ,0,,0,0
Manchester-City,Riyad Mahrez,26,Forward,Algeria ,8,,2,3
Manchester-City,Raheem Sterling,7,Forward,England ,11,,7,1
Manchester-City,Sergio Agüero,10,Forward,Argentina ,11,,9,2
Manchester-City,Leroy Sané,19,Forward,Germany ,0,,0,0
Manchester-City,Gabriel Jesus,9,Forward,Brazil ,9,,3,1
Manchester-City,Ian Carlo Poveda-Ocampo,-,Forward,England ,0,,0,0
