Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Manchester-United,David de Gea,1,Goalkeeper,Spain ,12,2,,
Manchester-United,Lee Grant,13,Goalkeeper,England ,0,0,,
Manchester-United,Sergio Romero,22,Goalkeeper,Argentina ,0,0,,
Manchester-United,Victor Lindelöf,2,Defender,Sweden ,11,2,0,
Manchester-United,Eric Bailly,3,Defender,Cote D'Ivoire ,0,0,0,
Manchester-United,Phil Jones,4,Defender,England ,0,0,0,
Manchester-United,Marcos Rojo,16,Defender,Argentina ,3,0,0,
Manchester-United,Ashley Young,18,Defender,England ,9,1,0,
Manchester-United,Diogo Dalot,20,Defender,Portugal ,1,0,0,
Manchester-United,Luke Shaw,23,Defender,England ,3,1,0,
Manchester-United,Aaron Wan-Bissaka,29,Defender,England ,10,2,0,
Manchester-United,Timothy Fosu-Mensah,24,Defender,Netherlands ,0,0,0,
Manchester-United,Axel Tuanzebe,38,Defender,England ,3,0,0,
Manchester-United,Harry Maguire,5,Defender,England ,12,2,0,
Manchester-United,Brandon Williams,53,Defender,England ,3,0,0,
Manchester-United,Paul Pogba,6,Midfielder,France ,5,,0,2
Manchester-United,Juan Mata,8,Midfielder,Spain ,7,,0,0
Manchester-United,Jesse Lingard,14,Midfielder,England ,9,,0,0
Manchester-United,Andreas Pereira,15,Midfielder,Brazil ,11,,1,1
Manchester-United,Fred,17,Midfielder,Brazil ,8,,0,0
Manchester-United,Nemanja Matic,31,Midfielder,Serbia ,3,,0,0
Manchester-United,Scott McTominay,39,Midfielder,Scotland ,12,,3,1
Manchester-United,Daniel James,21,Midfielder,Wales ,12,,3,2
Manchester-United,Angel Gomes,28,Midfielder,England ,1,,0,0
Manchester-United,James Garner,37,Midfielder,England ,1,,0,0
Manchester-United,Tahith Chong,44,Midfielder,Netherlands ,2,,0,0
Manchester-United,Marcus Rashford,10,Forward,England ,12,,6,3
Manchester-United,Anthony Martial,9,Forward,France ,7,,3,3
Manchester-United,Mason Greenwood,26,Forward,England ,9,,0,0
