Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Newcastle-United,Robert Elliot,21,Goalkeeper,Ireland ,0,0,,
Newcastle-United,Martin Dubravka,1,Goalkeeper,Slovakia ,12,3,,
Newcastle-United,Karl Darlow,26,Goalkeeper,England ,0,0,,
Newcastle-United,Ciaran Clark,2,Defender,Ireland ,5,1,2,
Newcastle-United,Paul Dummett,3,Defender,Wales ,9,2,0,
Newcastle-United,Fabian Schär,5,Defender,Switzerland ,9,3,1,
Newcastle-United,Jamaal Lascelles,6,Defender,England ,12,2,1,
Newcastle-United,Federico Fernández,18,Defender,Argentina ,6,0,1,
Newcastle-United,Javier Manquillo,19,Defender,Spain ,4,1,0,
Newcastle-United,Florian Lejeune,20,Defender,France ,0,0,0,
Newcastle-United,DeAndre Yedlin,22,Defender,United States ,6,1,1,
Newcastle-United,Jetro Willems,15,Defender,Netherlands ,9,1,1,
Newcastle-United,Emil Krafth,17,Defender,Sweden ,6,1,0,
Newcastle-United,Ki Sung-yueng,4,Midfielder,South Korea ,3,,0,0
Newcastle-United,Jonjo Shelvey,8,Midfielder,England ,7,,2,0
Newcastle-United,Matt Ritchie,11,Midfielder,Scotland ,3,,0,0
Newcastle-United,Isaac Hayden,14,Midfielder,England ,9,,0,1
Newcastle-United,Miguel Almirón,24,Midfielder,Paraguay ,12,,0,0
Newcastle-United,Christian Atsu,30,Midfielder,Ghana ,10,,0,2
Newcastle-United,Sean Longstaff,36,Midfielder,England ,8,,0,1
Newcastle-United,Matthew Longstaff,43,Midfielder,England ,3,,1,0
Newcastle-United,Yoshinori Muto,13,Forward,Japan ,5,,0,0
Newcastle-United,Joelinton,9,Forward,Brazil ,12,,1,1
Newcastle-United,Allan Saint-Maximin,10,Forward,France ,8,,0,0
Newcastle-United,Dwight Gayle,12,Forward,England ,2,,0,0
Newcastle-United,Andy Carroll,7,Forward,England ,6,,0,0
