Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Norwich-City,Tim Krul,1,Goalkeeper,Netherlands ,10,1,,
Norwich-City,Michael McGovern,1,Goalkeeper,Northern Ireland ,2,0,,
Norwich-City,Ralf Fährmann,21,Goalkeeper,Germany ,1,0,,
Norwich-City,Archie Mair,60,Goalkeeper,Scotland ,0,0,,
Norwich-City,Christoph Zimmermann,6,Defender,Germany ,1,0,0,
Norwich-City,Jamal Lewis,12,Defender,Northern Ireland ,12,1,0,
Norwich-City,Timm Klose,15,Defender,Switzerland ,0,0,0,
Norwich-City,Philip Heise,16,Defender,Germany ,0,0,0,
Norwich-City,Grant Hanley,5,Defender,Scotland ,3,0,0,
Norwich-City,Max Aarons,2,Defender,England ,10,1,0,
Norwich-City,Sam Byram,3,Defender,England ,4,0,0,
Norwich-City,Akin Famewo,43,Defender,England ,0,0,0,
Norwich-City,Ben Godfrey,35,Midfielder,England ,12,,0,0
Norwich-City,Mario Vrancic,8,Midfielder,Bosnia And Herzegovina ,3,,0,0
Norwich-City,Moritz Leitner,10,Midfielder,Germany ,9,,0,0
Norwich-City,Emiliano Buendía,17,Midfielder,Argentina ,12,,0,4
Norwich-City,Marco Stiepermann,18,Midfielder,Germany ,11,,0,0
Norwich-City,Tom Trybull,4,Midfielder,Germany ,7,,0,0
Norwich-City,Kenny McLean,23,Midfielder,Scotland ,11,,1,0
Norwich-City,Onel Hernández,11,Midfielder,Cuba ,5,,1,0
Norwich-City,Alexander Tettey,27,Midfielder,Norway ,7,,0,0
Norwich-City,Todd Cantwell,14,Midfielder,England ,12,,2,2
Norwich-City,Patrick Roberts,7,Midfielder,England ,3,,0,0
Norwich-City,Ibrahim Amadou,24,Midfielder,Cameroon ,7,,0,0
Norwich-City,Louis Thompson,-,Midfielder,Wales ,0,,0,0
Norwich-City,Teemu Pukki,22,Forward,Finland ,12,,6,2
Norwich-City,Dennis Srbeny,32,Forward,Germany ,5,,0,0
Norwich-City,Josip Drmic,20,Forward,Switzerland ,8,,1,0
Norwich-City,Adam Idah,35,Forward,Ireland ,0,,0,0
