Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Sheffield-United,Simon Moore,25,Goalkeeper,England ,0,0,,
Sheffield-United,Dean Henderson,1,Goalkeeper,England ,12,5,,
Sheffield-United,Michael Verrips,21,Goalkeeper,Netherlands ,0,0,,
Sheffield-United,George Baldock,2,Defender,England ,12,5,1,
Sheffield-United,Enda Stevens,3,Defender,Ireland ,12,5,0,
Sheffield-United,Jack O'Connell,5,Defender,England ,12,5,0,
Sheffield-United,Chris Basham,6,Defender,England ,12,5,0,
Sheffield-United,John Egan,12,Defender,Ireland ,12,4,0,
Sheffield-United,Kieron Freeman,18,Defender,Wales ,0,0,0,
Sheffield-United,Richard Stearman,19,Defender,England ,0,0,0,
Sheffield-United,Kean Bryan,20,Defender,England ,0,0,0,
Sheffield-United,Phil Jagielka,15,Defender,England ,3,0,0,
Sheffield-United,John Lundstram,7,Midfielder,England ,12,,3,1
Sheffield-United,John Fleck,4,Midfielder,Scotland ,10,,1,0
Sheffield-United,Oliver Norwood,16,Midfielder,Northern Ireland ,12,,0,0
Sheffield-United,Luke Freeman,8,Midfielder,England ,6,,0,0
Sheffield-United,Ravel Morrison,14,Midfielder,England ,1,,0,0
Sheffield-United,Ben Osborn,23,Midfielder,England ,2,,0,0
Sheffield-United,Muhamed Besic,27,Midfielder,Bosnia And Herzegovina ,1,,0,0
Sheffield-United,Billy Sharp,10,Forward,England ,7,,1,0
Sheffield-United,David McGoldrick,17,Forward,Ireland ,9,,0,1
Sheffield-United,Callum Robinson,11,Forward,Ireland ,10,,1,0
Sheffield-United,Lys Mousset,22,Forward,France ,9,,3,3
Sheffield-United,Oliver McBurnie,9,Forward,Scotland ,10,,1,0
Sheffield-United,Leon Clarke,24,Forward,England ,1,,0,0
