Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Southampton,Alex McCarthy,1,Goalkeeper,England ,2,0,,
Southampton,Angus Gunn,28,Goalkeeper,England ,10,2,,
Southampton,Harry Lewis,41,Goalkeeper,England ,0,0,,
Southampton,Maya Yoshida,3,Defender,Japan ,7,1,0,
Southampton,Jannik Vestergaard,4,Defender,Denmark ,11,2,1,
Southampton,Jack Stephens,5,Defender,England ,4,0,0,
Southampton,Ryan Bertrand,21,Defender,England ,7,0,0,
Southampton,Jan Bednarek,35,Defender,Poland ,12,2,0,
Southampton,Yan Valery,43,Defender,France ,7,0,0,
Southampton,Kayne Ramsay,31,Defender,England ,0,0,0,
Southampton,Cédric Soares,2,Defender,Portugal ,4,1,0,
Southampton,Jake Vokins,29,Defender,England ,0,0,0,
Southampton,Kevin Danso,38,Defender,Austria ,6,1,0,
Southampton,Sam McQueen,45,Defender,England ,0,0,0,
Southampton,Oriol Romeu,14,Midfielder,Spain ,12,,0,0
Southampton,James Ward-Prowse,16,Midfielder,England ,12,,2,0
Southampton,Stuart Armstrong,17,Midfielder,Scotland ,9,,0,0
Southampton,Nathan Redmond,22,Midfielder,England ,10,,1,0
Southampton,Pierre-Emile Højbjerg,23,Midfielder,Denmark ,11,,0,0
Southampton,Callum Slattery,30,Midfielder,England ,0,,0,0
Southampton,Moussa Djenepo,12,Midfielder,Mali ,5,,2,0
Southampton,Sofiane Boufal,19,Midfielder,Morocco ,9,,0,2
Southampton,William Smallbone,27,Midfielder,Ireland ,0,,0,0
Southampton,Shane Long,7,Forward,Ireland ,4,,0,0
Southampton,Michael Obafemi,20,Forward,Ireland ,4,,0,0
Southampton,Che Adams,10,Forward,England ,9,,0,0
Southampton,Danny Ings,9,Forward,England ,12,,5,1
Southampton,Daniel N'Lundulu,40,Forward,England ,0,,0,0
