Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Tottenham-Hotspur,Hugo Lloris,1,Goalkeeper,France ,7,1,,
Tottenham-Hotspur,Paulo Gazzaniga,22,Goalkeeper,Argentina ,6,0,,
Tottenham-Hotspur,Alfie Whiteman,41,Goalkeeper,England ,0,0,,
Tottenham-Hotspur,Michel Vorm,13,Goalkeeper,Netherlands ,0,0,,
Tottenham-Hotspur,Brandon Austin,49,Goalkeeper,England ,0,0,,
Tottenham-Hotspur,Danny Rose,3,Defender,England ,9,0,0,
Tottenham-Hotspur,Toby Alderweireld,4,Defender,Belgium ,11,1,0,
Tottenham-Hotspur,Jan Vertonghen,5,Defender,Belgium ,6,1,0,
Tottenham-Hotspur,Davinson Sánchez,6,Defender,Colombia ,8,0,0,
Tottenham-Hotspur,Kyle Walker-Peters,16,Defender,England ,3,0,0,
Tottenham-Hotspur,Juan Foyth,21,Defender,Argentina ,2,0,0,
Tottenham-Hotspur,Serge Aurier,24,Defender,Cote D'Ivoire ,7,1,0,
Tottenham-Hotspur,Ben Davies,33,Defender,Wales ,5,0,0,
Tottenham-Hotspur,Japhet Tanganga,39,Defender,England ,0,0,0,
Tottenham-Hotspur,Harry Winks,8,Midfielder,England ,11,,0,0
Tottenham-Hotspur,Erik Lamela,11,Midfielder,Argentina ,9,,2,1
Tottenham-Hotspur,Victor Wanyama,12,Midfielder,Kenya ,2,,0,0
Tottenham-Hotspur,Eric Dier,15,Midfielder,England ,3,,0,0
Tottenham-Hotspur,Moussa Sissoko,17,Midfielder,France ,12,,0,1
Tottenham-Hotspur,Dele Alli,20,Midfielder,England ,5,,2,0
Tottenham-Hotspur,Christian Eriksen,23,Midfielder,Denmark ,10,,1,1
Tottenham-Hotspur,Lucas Moura,27,Midfielder,Brazil ,10,,1,1
Tottenham-Hotspur,Tanguy Ndombele,28,Midfielder,France ,10,,2,1
Tottenham-Hotspur,Oliver Skipp,29,Midfielder,England ,2,,0,0
Tottenham-Hotspur,Giovani Lo Celso,18,Midfielder,Argentina ,6,,0,0
Tottenham-Hotspur,Ryan Sessegnon,19,Midfielder,England ,1,,0,0
Tottenham-Hotspur,Son Heung-Min,7,Forward,South Korea ,10,,3,3
Tottenham-Hotspur,Harry Kane,10,Forward,England ,11,,6,1
Tottenham-Hotspur,Troy Parrott,52,Forward,Ireland ,0,,0,0
