Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Watford,Ben Foster,26,Goalkeeper,England ,12,3,,
Watford,Pontus Dahlberg,30,Goalkeeper,Sweden ,0,0,,
Watford,Daniel Bachmann,35,Goalkeeper,Austria ,0,0,,
Watford,Heurelho Gomes,1,Goalkeeper,Brazil ,0,0,,
Watford,Daryl Janmaat,2,Defender,Netherlands ,8,3,0,
Watford,Sebastian Prödl,5,Defender,Austria ,1,0,0,
Watford,Adrian Mariappa,6,Defender,Jamaica ,3,0,0,
Watford,Adam Masina,11,Defender,Italy ,3,0,0,
Watford,Craig Cathcart,15,Defender,Northern Ireland ,10,3,0,
Watford,Kiko Femenía,21,Defender,Spain ,8,0,0,
Watford,José Holebas,25,Defender,Greece ,9,1,0,
Watford,Christian Kabasele,27,Defender,Belgium ,7,2,0,
Watford,Craig Dawson,4,Defender,England ,12,2,0,
Watford,Dimitri Foulquier,36,Defender,Guadeloupe ,2,0,0,
Watford,Marvin Zeegelaar,32,Defender,Netherlands ,0,0,0,
Watford,Tom Cleverley,8,Midfielder,England ,9,,1,0
Watford,Nathaniel Chalobah,14,Midfielder,England ,4,,0,0
Watford,Abdoulaye Doucouré,16,Midfielder,France ,12,,1,0
Watford,Will Hughes,19,Midfielder,England ,10,,1,1
Watford,Domingos Quina,20,Midfielder,Portugal ,1,,0,0
Watford,Etienne Capoue,29,Midfielder,France ,7,,0,0
Watford,Roberto Pereyra,37,Midfielder,Argentina ,11,,1,0
Watford,Tom Dele-Bashiru,24,Midfielder,Nigeria ,0,,0,0
Watford,Gerard Deulofeu,7,Forward,Spain ,12,,2,2
Watford,Troy Deeney,9,Forward,England ,2,,0,0
Watford,Isaac Success,22,Forward,Nigeria ,2,,0,0
Watford,Andre Gray,18,Forward,England ,11,,2,0
Watford,Danny Welbeck,10,Forward,England ,5,,0,0
Watford,Ismaila Sarr,23,Forward,Senegal ,5,,0,0
Watford,Sam Dalby,40,Forward,England ,0,,0,0
