Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
West-Ham-United,Lukasz Fabianski,1,Goalkeeper,Poland ,7,3,,
West-Ham-United,Roberto Jiménez,13,Goalkeeper,Spain ,6,0,,
West-Ham-United,David Martin,25,Goalkeeper,England ,0,0,,
West-Ham-United,Winston Reid,2,Defender,New Zealand ,0,0,0,
West-Ham-United,Aaron Cresswell,3,Defender,England ,7,1,2,
West-Ham-United,Fabián Balbuena,4,Defender,Paraguay ,5,0,1,
West-Ham-United,Pablo Zabaleta,5,Defender,Argentina ,5,0,0,
West-Ham-United,Angelo Ogbonna,21,Defender,Italy ,8,3,0,
West-Ham-United,Issa Diop,23,Defender,France ,12,3,0,
West-Ham-United,Ryan Fredericks,24,Defender,England ,11,2,0,
West-Ham-United,Arthur Masuaku,26,Defender,The Democratic Republic Of Congo ,5,1,0,
West-Ham-United,Gonçalo Cardoso,20,Defender,Portugal ,0,0,0,
West-Ham-United,Felipe Anderson,8,Midfielder,Brazil ,11,,0,3
West-Ham-United,Manuel Lanzini,10,Midfielder,Argentina ,11,,0,2
West-Ham-United,Robert Snodgrass,11,Midfielder,Scotland ,7,,2,0
West-Ham-United,Carlos Sánchez,15,Midfielder,Colombia ,3,,0,0
West-Ham-United,Mark Noble,16,Midfielder,England ,10,,1,0
West-Ham-United,Jack Wilshere,19,Midfielder,England ,6,,0,0
West-Ham-United,Michail Antonio,30,Midfielder,England ,3,,0,0
West-Ham-United,Declan Rice,41,Midfielder,England ,12,,0,0
West-Ham-United,Pablo Fornals,18,Midfielder,Spain ,11,,0,0
West-Ham-United,Ben Johnson,53,Midfielder,England ,0,,0,0
West-Ham-United,Conor Coventry,54,Midfielder,Ireland ,0,,0,0
West-Ham-United,Nathan Holland,37,Midfielder,England ,0,,0,0
West-Ham-United,Andriy Yarmolenko,7,Forward,Ukraine ,11,,3,1
West-Ham-United,Xande Silva,32,Forward,Portugal ,0,,0,0
West-Ham-United,Sébastien Haller,22,Forward,France ,11,,4,1
West-Ham-United,Albian Ajeti,27,Forward,Switzerland ,4,,0,0
