Club,Name,Number,Position,Nationality,Appearances,Clean Sheets,Goals,Assists
Wolverhampton-Wanderers,Rui Patrício,11,Goalkeeper,Portugal ,12,3,,
Wolverhampton-Wanderers,John Ruddy,21,Goalkeeper,England ,0,0,,
Wolverhampton-Wanderers,Andreas Söndergaard,-,Goalkeeper,Denmark ,0,0,,
Wolverhampton-Wanderers,Matt Doherty,2,Defender,Ireland ,11,2,1,
Wolverhampton-Wanderers,Ryan Bennett,5,Defender,England ,7,1,0,
Wolverhampton-Wanderers,Willy Boly,15,Defender,Cote D'Ivoire ,8,3,0,
Wolverhampton-Wanderers,Conor Coady,16,Defender,England ,12,3,0,
Wolverhampton-Wanderers,Jonny,19,Defender,Spain ,11,2,1,
Wolverhampton-Wanderers,Rúben Vinagre,29,Defender,Portugal ,4,0,0,
Wolverhampton-Wanderers,Max Kilman,49,Defender,England ,0,0,0,
Wolverhampton-Wanderers,Jesús Vallejo,4,Defender,Spain ,2,0,0,
Wolverhampton-Wanderers,Dion Sanderson,-,Defender,England ,0,0,0,
Wolverhampton-Wanderers,Oskar Buur,-,Defender,Denmark ,0,0,0,
Wolverhampton-Wanderers,Flávio Cristóvão,66,Defender,Portugal ,0,0,0,
Wolverhampton-Wanderers,Lewis Richards,76,Defender,England ,0,0,0,
Wolverhampton-Wanderers,Rúben Neves,8,Midfielder,Portugal ,12,,2,0
Wolverhampton-Wanderers,Morgan Gibbs-White,17,Midfielder,England ,3,,0,0
Wolverhampton-Wanderers,Romain Saïss,27,Midfielder,Morocco ,9,,1,0
Wolverhampton-Wanderers,João Moutinho,28,Midfielder,Portugal ,12,,0,3
Wolverhampton-Wanderers,Leander Dendoncker,32,Midfielder,Belgium ,12,,0,0
Wolverhampton-Wanderers,Bruno Jordao,-,Midfielder,Portugal ,0,,0,0
Wolverhampton-Wanderers,Taylor Perry,26,Midfielder,England ,0,,0,0
Wolverhampton-Wanderers,Meritan Shabani,57,Midfielder,Germany ,0,,0,0
Wolverhampton-Wanderers,Luke Cundle,68,Midfielder,England ,0,,0,0
Wolverhampton-Wanderers,Terry Taylor,39,Midfielder,Wales ,0,,0,0
Wolverhampton-Wanderers,Diogo Jota,18,Forward,Portugal ,10,,1,0
Wolverhampton-Wanderers,Adama Traoré,37,Forward,Spain ,11,,2,2
Wolverhampton-Wanderers,Raúl Jiménez,9,Forward,Mexico ,12,,5,2
Wolverhampton-Wanderers,Patrick Cutrone,10,Forward,Italy ,9,,1,0
Wolverhampton-Wanderers,Pedro Neto,7,Forward,Portugal ,8,,0,1
Wolverhampton-Wanderers,Benny Ashley-Seal,56,Forward,England ,0,,0,0
Wolverhampton-Wanderers,Austin Samuels,58,Forward,England ,0,,0,0
Wolverhampton-Wanderers,Chem Campbell,77,Forward,Wales ,0,,0,0
