Club,Stadium,Matches_played,Wins,Losses,Goals,Goals_conceded,Clean_sheets,Goals,Goals_per_match,Shots,Shots_on_target,Shooting_accuracy_%,Penalties_scored,Big_chances_created,Hit_woodwork,Team,Passes,Passes_per_match,Pass_accuracy_%,Crosses,Cross_accuracy_%,Clean_sheets,Goals_conceded,Goals_conceded_per_match,Saves,Tackles,Tackle_success_%,Blocked_shots,Interceptions,Clearances,Headed_Clearance,Aerial_Battles/Duels_Won,Errors_leading_to_goal,Own_goals,Yellow_cards,Red_cards,Fouls,Offsides
Arsenal,Emirates Stadium,38,21,10,73,51,8,73,1.92,467,170,36%,4,72,9,Play,20805,547.50,83%,605,21%,8,51,1.34,133,609,60%,128,412,762,404,2489,13,2,72,2,227,89
Bournemouth,Vitality Stadium,38,13,19,56,70,10,56,1.47,446,163,37%,7,77,12,Play,15943,419.55,78%,613,27%,10,70,1.84,110,526,57%,108,371,1019,515,2676,11,3,60,1,170,57
Brighton-and-Hove-Albion,Amex Stadium,38,9,20,35,60,7,35,0.92,371,108,29%,5,34,6,Play,14109,371.29,75%,636,29%,7,60,1.58,111,681,58%,89,463,921,499,2914,5,0,60,4,235,90
Burnley,Turf Moor,38,11,20,45,68,8,45,1.18,360,116,32%,2,49,12,Play,13011,342.39,70%,693,24%,8,68,1.79,140,583,54%,89,365,1080,539,3209,5,4,75,1,172,106
Cardiff-City,Cardiff City Stadium,38,10,24,34,69,10,34,0.89,417,126,30%,3,33,14,Play,10226,269.11,64%,562,26%,10,69,1.82,141,655,57%,112,528,978,448,3252,8,0,66,1,196,77
Chelsea,Stamford Bridge,38,21,8,63,39,16,63,1.66,607,198,33%,5,81,21,Play,25070,659.74,88%,692,19%,16,39,1.03,85,618,59%,199,351,593,330,2548,3,0,49,0,169,83
Crystal-Palace,Selhurst Park,38,14,17,51,53,12,51,1.34,493,148,30%,10,40,16,Play,15243,401.13,77%,577,24%,12,53,1.39,113,730,61%,139,446,940,467,2868,5,1,58,2,224,78
Everton,Goodison Park,38,15,14,54,46,14,54,1.42,498,169,34%,2,52,16,Play,16494,434.05,77%,814,25%,14,46,1.21,94,700,63%,140,456,825,430,3211,7,2,55,4,250,69
Fulham,Craven Cottage,38,7,26,34,81,5,34,0.89,454,146,32%,2,48,13,Play,17699,465.76,80%,611,23%,5,81,2.13,147,591,61%,116,433,971,443,2781,12,2,68,2,209,90
Huddersfield-Town,John Smith's Stadium,38,3,28,22,76,5,22,0.58,400,118,30%,1,27,11,Play,15902,418.47,76%,769,22%,5,76,2.00,114,710,60%,114,530,658,246,3018,11,1,55,4,232,63
Leicester-City,King Power Stadium,38,15,16,51,48,10,51,1.34,515,184,36%,5,59,10,Play,17219,453.13,79%,779,21%,10,48,1.26,90,676,58%,133,436,945,500,3074,4,0,57,5,210,72
Liverpool,Anfield,39,30,1,89,22,21,89,2.28,575,226,39%,7,78,19,Play,23638,606.10,84%,721,24%,21,22,0.56,76,610,61%,141,314,639,317,2518,4,0,38,2,185,77
Manchester-City,Etihad Stadium,38,32,4,95,23,20,95,2.50,683,260,38%,3,101,21,Play,26581,699.50,89%,783,20%,20,23,0.61,58,518,63%,194,362,543,295,2344,2,0,44,1,193,98
Manchester-United,Old Trafford,39,19,10,65,54,7,65,1.67,526,225,43%,9,65,9,Play,19202,492.36,82%,638,20%,7,54,1.38,122,581,60%,130,355,785,370,2683,8,3,73,4,221,90
Newcastle-United,St. James' Park,38,12,17,42,48,11,42,1.11,446,142,32%,1,39,14,Play,13490,355.00,73%,711,24%,11,48,1.26,95,714,61%,118,506,1120,564,2875,5,1,57,2,266,59
Southampton,St. Mary's Stadium,38,9,17,45,65,7,45,1.18,483,162,34%,4,48,13,Play,14297,376.24,74%,664,24%,7,65,1.71,114,699,61%,138,548,1068,502,2863,10,3,71,3,217,61
Tottenham-Hotspur,Tottenham Hotspur Stadium,38,23,13,67,39,13,67,1.76,537,189,35%,4,64,13,Play,21295,560.39,83%,643,26%,13,39,1.03,121,626,60%,142,326,770,411,2566,6,3,56,3,225,74
Watford,Vicarage Road,38,14,16,52,59,7,52,1.37,437,152,35%,1,63,9,Play,15462,406.89,76%,570,18%,7,59,1.55,127,655,60%,128,426,956,447,2855,7,3,77,4,231,89
West-Ham-United,London Stadium,38,15,16,52,55,7,52,1.37,441,157,36%,5,48,13,Play,16358,430.47,79%,630,24%,7,55,1.45,148,723,54%,114,457,855,397,2781,5,2,59,1,182,72
Wolverhampton-Wanderers,Molineux Stadium,38,16,13,47,46,9,47,1.24,477,152,32%,4,65,14,Play,16618,437.32,78%,622,25%,9,46,1.21,100,720,57%,118,501,824,464,2998,3,4,72,1,223,73
