Club,Stadium,Matches_played,Wins,Losses,Goals,Goals_conceded,Clean_sheets,Goals,Goals_per_match,Shots,Shots_on_target,Shooting_accuracy_%,Penalties_scored,Big_chances_created,Hit_woodwork,Team,Passes,Passes_per_match,Pass_accuracy_%,Crosses,Cross_accuracy_%,Clean_sheets,Goals_conceded,Goals_conceded_per_match,Saves,Tackles,Tackle_success_%,Blocked_shots,Interceptions,Clearances,Headed_Clearance,Aerial_Battles/Duels_Won,Errors_leading_to_goal,Own_goals,Yellow_cards,Red_cards,Fouls,Offsides
Arsenal,Emirates Stadium,1050,569,216,1861,1030,403,1861,1.77,7956,2875,36%,57,707,218,Play,272436,259.46,84%,11114,21%,403,1030,0.98,745,10108,73%,2064,7885,13840,5076,35843,112,41,1573,89,1281,1187
Aston-Villa,Villa Park,936,319,340,1134,1206,270,1134,1.21,4720,1531,32%,36,259,105,Play,142254,151.98,74%,8997,24%,270,1206,1.29,383,8335,75%,1152,6109,14131,4450,27840,71,45,1381,57,670,924
Bournemouth,Vitality Stadium,164,51,73,216,280,36,216,1.32,1967,673,34%,21,203,53,Play,71285,434.66,79%,2902,22%,36,280,1.71,477,2509,67%,540,2011,4392,2259,11490,41,9,244,6,737,249
Brighton-and-Hove-Albion,Amex Stadium,88,22,41,84,131,21,84,0.95,904,270,30%,11,93,19,Play,34874,396.3,76%,1501,25%,21,131,1.49,278,1512,60%,229,1059,2203,1220,6548,9,7,132,8,541,215
Burnley,Turf Moor,202,55,100,207,315,47,207,1.02,2151,691,32%,15,154,55,Play,70255,347.8,70%,3892,24%,47,315,1.56,578,3220,68%,550,2662,6746,3424,15828,22,12,347,7,858,469
Chelsea,Stamford Bridge,1050,566,225,1797,1019,423,1797,1.71,8693,2945,34%,66,572,196,Play,260949,248.52,84%,11261,23%,423,1019,0.97,581,10040,74%,2326,6473,12991,4888,34840,64,36,1650,78,1207,1269
Crystal-Palace,Selhurst Park,400,115,186,435,580,100,435,1.09,2849,913,32%,39,249,68,Play,85263,213.16,74%,4833,23%,100,580,1.45,717,4616,71%,766,3690,6868,3699,19502,51,16,631,20,1378,438
Everton,Goodison Park,1050,381,371,1370,1329,324,1370,1.3,6813,2309,34%,49,493,161,Play,208873,198.93,77%,11478,23%,324,1329,1.27,673,9738,75%,1831,6926,17033,5950,35256,83,52,1591,95,1386,1113
Leicester-City,King Power Stadium,510,165,207,652,727,135,652,1.28,2519,852,34%,28,290,51,Play,79151,155.2,74%,4175,21%,135,727,1.43,582,3909,70%,652,3094,5343,2805,16101,22,27,740,47,1161,360
Liverpool,Anfield,1051,540,247,1802,1056,396,1802,1.71,8642,2909,34%,67,611,250,Play,261463,248.78,81%,11456,22%,396,1056,1,522,11043,74%,2202,6584,14017,4920,35282,88,39,1314,58,1258,1182
Manchester-City,Etihad Stadium,860,399,264,1409,988,282,1409,1.64,8116,2848,35%,70,748,210,Play,267423,310.96,84%,10621,23%,282,988,1.15,490,9980,74%,2133,7021,13974,4809,33263,61,37,1285,67,1346,1192
Manchester-United,Old Trafford,1051,652,170,2005,941,446,2005,1.91,7900,2816,36%,63,603,198,Play,259115,246.54,83%,12193,23%,446,941,0.9,656,9875,73%,2060,7069,15273,5761,33611,56,38,1499,66,1434,1204
Newcastle-United,St. James' Park,932,350,345,1260,1253,244,1260,1.35,5376,1722,32%,31,371,130,Play,163679,175.62,75%,9268,22%,244,1253,1.34,572,8623,73%,1406,6176,13339,4670,30449,68,30,1348,84,1171,869
Norwich-City,Carrow Road,328,91,144,376,538,68,376,1.15,1946,618,32%,5,165,45,Play,63503,193.61,76%,3475,24%,68,538,1.64,280,2850,73%,481,2122,5170,1923,10256,42,17,412,15,427,329
Sheffield-United,Bramall Lane,134,36,57,141,177,37,141,1.05,606,183,30%,2,18,15,Play,15647,116.77,66%,1050,24%,37,177,1.32,37,1120,75%,136,352,1551,189,3310,5,4,192,10,59,103
Southampton,St. Mary's Stadium,784,240,328,948,1116,209,948,1.21,3695,1215,33%,22,351,103,Play,124825,159.22,78%,6279,23%,209,1116,1.42,594,5405,73%,936,4287,7681,3429,20254,64,36,1144,56,1346,595
Tottenham-Hotspur,Tottenham Hotspur Stadium,1050,449,339,1565,1323,295,1565,1.49,8092,2770,34%,51,554,183,Play,239908,228.48,81%,11177,22%,295,1323,1.26,684,10280,74%,2194,7459,16215,5804,35225,112,36,1529,66,1354,1174
Watford,Vicarage Road,240,60,124,248,400,52,248,1.03,2314,744,32%,18,179,47,Play,74797,311.65,72%,3845,22%,52,400,1.67,522,3698,69%,609,2519,5301,1878,14443,31,17,439,23,1048,412
West-Ham-United,London Stadium,894,293,369,1078,1289,236,1078,1.21,6006,1924,32%,38,351,162,Play,175162,195.93,76%,10048,24%,236,1289,1.44,853,9089,73%,1542,6329,16281,6015,33655,81,36,1474,73,1220,1154
Wolverhampton-Wanderers,Molineux Stadium,202,51,95,220,342,36,220,1.09,1979,604,31%,14,150,50,Play,64227,317.96,74%,3870,24%,36,342,1.69,143,2937,69%,544,2299,5098,1638,10731,28,13,350,15,302,327
