Match ID,Date,Home Team,Away Team,Stadium,Home Score,Away Score
46709,Sunday 3 November 2019,Crystal Palace,Leicester,"Selhurst Park, London",0,2
46710,Sunday 3 November 2019,Everton,Spurs,"Goodison Park, Liverpool",1,1
46707,Saturday 2 November 2019,Bournemouth,Man Utd,"Vitality Stadium, Bournemouth",1,0
46705,Saturday 2 November 2019,Arsenal,Wolves,"Emirates Stadium, London",1,1
46706,Saturday 2 November 2019,Aston Villa,Liverpool,"Villa Park, Birmingham",1,2
46708,Saturday 2 November 2019,Brighton,Norwich,"Amex Stadium, Falmer",2,0
46711,Saturday 2 November 2019,Man City,Southampton,"Etihad Stadium, Manchester",2,1
46712,Saturday 2 November 2019,Sheffield Utd,Burnley,"Bramall Lane, Sheffield",3,0
46714,Saturday 2 November 2019,West Ham,Newcastle,"London Stadium, London",2,3
46713,Saturday 2 November 2019,Watford,Chelsea,"Vicarage Road, Watford",1,2
46700,Sunday 27 October 2019,Newcastle,Wolves,"St. James' Park, Newcastle",1,1
46695,Sunday 27 October 2019,Arsenal,Crystal Palace,"Emirates Stadium, London",2,2
46698,Sunday 27 October 2019,Liverpool,Spurs,"Anfield, Liverpool",2,1
46701,Sunday 27 October 2019,Norwich,Man Utd,"Carrow Road, Norwich",1,3
46699,Saturday 26 October 2019,Man City,Aston Villa,"Etihad Stadium, Manchester",3,0
46696,Saturday 26 October 2019,Brighton,Everton,"Amex Stadium, Falmer",3,2
46703,Saturday 26 October 2019,Watford,Bournemouth,"Vicarage Road, Watford",0,0
46704,Saturday 26 October 2019,West Ham,Sheffield Utd,"London Stadium, London",1,1
46697,Saturday 26 October 2019,Burnley,Chelsea,"Turf Moor, Burnley",2,4
46702,Friday 25 October 2019,Southampton,Leicester,"St. Mary's Stadium, Southampton",0,9
46692,Monday 21 October 2019,Sheffield Utd,Arsenal,"Bramall Lane, Sheffield",1,0
46691,Sunday 20 October 2019,Man Utd,Liverpool,"Old Trafford, Manchester",1,1
46689,Saturday 19 October 2019,Everton,West Ham,"Goodison Park, Liverpool",2,0
46686,Saturday 19 October 2019,Bournemouth,Norwich,"Vitality Stadium, Bournemouth",0,0
46685,Saturday 19 October 2019,Aston Villa,Brighton,"Villa Park, Birmingham",2,1
46687,Saturday 19 October 2019,Chelsea,Newcastle,"Stamford Bridge, London",1,0
46690,Saturday 19 October 2019,Leicester,Burnley,"King Power Stadium, Leicester",2,1
46693,Saturday 19 October 2019,Spurs,Watford,"Tottenham Hotspur Stadium, London",1,1
46694,Saturday 19 October 2019,Wolves,Southampton,"Molineux Stadium, Wolverhampton",1,1
46688,Saturday 19 October 2019,Crystal Palace,Man City,"Selhurst Park, London",0,2
46675,Sunday 6 October 2019,Arsenal,Bournemouth,"Emirates Stadium, London",1,0
46679,Sunday 6 October 2019,Man City,Wolves,"Etihad Stadium, Manchester",0,2
46682,Sunday 6 October 2019,Southampton,Chelsea,"St. Mary's Stadium, Southampton",1,4
46680,Sunday 6 October 2019,Newcastle,Man Utd,"St. James' Park, Newcastle",1,0
46676,Saturday 5 October 2019,Brighton,Spurs,"Amex Stadium, Falmer",3,0
46677,Saturday 5 October 2019,Burnley,Everton,"Turf Moor, Burnley",1,0
46678,Saturday 5 October 2019,Liverpool,Leicester,"Anfield, Liverpool",2,1
46681,Saturday 5 October 2019,Norwich,Aston Villa,"Carrow Road, Norwich",1,5
46683,Saturday 5 October 2019,Watford,Sheffield Utd,"Vicarage Road, Watford",0,0
46684,Saturday 5 October 2019,West Ham,Crystal Palace,"London Stadium, London",1,2
46671,Monday 30 September 2019,Man Utd,Arsenal,"Old Trafford, Manchester",1,1
46670,Sunday 29 September 2019,Leicester,Newcastle,"King Power Stadium, Leicester",5,0
46672,Saturday 28 September 2019,Sheffield Utd,Liverpool,"Bramall Lane, Sheffield",0,1
46666,Saturday 28 September 2019,Bournemouth,West Ham,"Vitality Stadium, Bournemouth",2,2
46665,Saturday 28 September 2019,Aston Villa,Burnley,"Villa Park, Birmingham",2,2
46667,Saturday 28 September 2019,Chelsea,Brighton,"Stamford Bridge, London",2,0
46668,Saturday 28 September 2019,Crystal Palace,Norwich,"Selhurst Park, London",2,0
46673,Saturday 28 September 2019,Spurs,Southampton,"Tottenham Hotspur Stadium, London",2,1
46674,Saturday 28 September 2019,Wolves,Watford,"Molineux Stadium, Wolverhampton",2,0
46669,Saturday 28 September 2019,Everton,Man City,"Goodison Park, Liverpool",1,3
46658,Sunday 22 September 2019,Crystal Palace,Wolves,"Selhurst Park, London",1,1
46664,Sunday 22 September 2019,West Ham,Man Utd,"London Stadium, London",2,0
46655,Sunday 22 September 2019,Arsenal,Aston Villa,"Emirates Stadium, London",3,2
46657,Sunday 22 September 2019,Chelsea,Liverpool,"Stamford Bridge, London",1,2
