Match ID,Referee,Attendance,Kick Off,HT Score,Home Goals,Home RC events,Away Goals,Away RC events,Home Assists,Away Assists,King of the Match
5557,Uriah Rennie,"38,349",16:00,2-2,"Robert Pires 8'
Thierry Henry 35', 56', 76' (pen)",,"Paul Scharner 10'
David Thompson 33'",Andreas Johansson 75',Robert Pires 35',David Thompson 10',
5558,Mike Dean,"33,820",16:00,1-0,"Gareth Barry 43'
Liam Ridgewell 78'",,Danny Collins 88',,Steven Davis 43',Dean Whitehead 88',
5559,Howard Webb,"25,731",16:00,1-0,"Zurab Khizanishvili 35'
Shefki Kuqi 52'",Tugay 59',,,Brett Emerton 52',,
5560,Stephen Bennett,"26,275",16:00,0-0,Ricardo Vaz Tê 65',,,,Kevin Nolan 65',,
5561,Alan Wiley,"39,671",16:00,0-1,"Victor Anichebe 84'
Duncan Ferguson 90 +1'",,"Zoltán Gera 14'
Williams Martínez 47'",,Mikel Arteta 84',"Jonathan Greening 14'
Zoltán Gera 47'",
5562,Mark Halsey,"22,434",16:00,0-0,Heidar Helguson 84' (pen),,,,,,
5563,Martin Atkinson,"73,006",16:00,3-0,"Louis Saha 19'
Cristiano Ronaldo 23'
Jason Euell 34' (og) Own
Kieran Richardson 58'",,,,"Ryan Giggs 19'
Wes Brown 23'",,
5564,Michael Riley,"52,309",16:00,0-0,Titus Bramble 72',Stephen Carr 75',,,Amdy Faye 72',,
5565,Graham Poll,"20,240",16:00,0-0,Ognjen Koroman 85',,"Robbie Fowler 52'
Peter Crouch 84'
Djibril Cissé 89'",,Wayne Routledge 85',"Fernando Morientes 52'
Peter Crouch 89'",
5566,Chris Foy,"34,797",16:00,1-1,"Carl Fletcher 10'
Yossi Benayoun 80'",,Jermain Defoe 35',,Nigel Reo-Coker 80',Michael Carrick 35',
5555,Graham Poll,"41,875",20:45,1-1,David Sommeil 38',,"Fredrik Ljungberg 30'
José Antonio Reyes 78', 84'",,,"Thierry Henry 30', 84'
Emmanuel Eboué 78'",
5556,Michael Riley,"28,226",20:45,1-0,"Anthony Le Tallec 32'
Chris Brown 57'",,Tomasz Radzinski 76',,Andrew Welsh 32',Collins John 76',
5554,Howard Webb,"22,733",21:00,0-0,Ricardo Vaz Tê 50',,Adam Johnson 47',,Jay Jay Okocha 50',David Wheater 47',
5553,Stephen Bennett,"20,243",21:00,1-0,Steven Reid 43',,,,Robbie Savage 43',,
5551,Dermot Gallagher,"44,003",18:15,0-3,,,"Danny Collins 27' (og) Own
Cesc Fàbregas 40'
Thierry Henry 43'",,,Thierry Henry 40',
5550,Chris Foy,"69,531",21:00,0-0,,,,,,,
5552,Graham Poll,"23,143",21:00,0-1,,,Nigel Reo-Coker 41',,,Bobby Zamora 41',
5549,Alan Wiley,"36,179",17:00,0-0,Aaron Lennon 60',,,,Michael Carrick 60',,
5544,Mike Dean,"42,182",13:30,1-0,"William Gallas 5'
Joe Cole 61'
Ricardo Carvalho 73'",,,,"Didier Drogba 5', 61'
Joe Cole 73'",,
5542,Martin Atkinson,"28,331",16:00,0-0,,,,,,,
5545,Mark Halsey,"45,064",16:00,1-0,"Fernando Morientes 4'
Steven Gerrard 61', 66'",,Gareth Barry 58',,"Xabi Alonso 4', 61'
Fernando Morientes 66'",Aaron Hughes 58',
5546,Peter Walton,"41,128",16:00,0-0,Richard Dunne 69',,"Collins John 84'
Steed Malbranque 90 +1'",,Micah Richards 69',"Luís Boa Morte 84', 90 +1'",
5547,Lee Mason,"29,224",16:00,0-0,,,James McFadden 89',,,Leon Osman 89',
5548,Michael Riley,"21,254",16:00,1-0,Henri Camara 33',Gary Teale 70',"Benjani 62'
Matthew Taylor 70' (pen)",,,,
5543,Rob Styles,"26,249",18:15,0-1,,,"Steven Reid 43'
Chris Powell 65' (og) Own",,,Morten Gamst Pedersen 43',
5541,Howard Webb,"34,838",20:45,0-1,Nigel Reo-Coker 46',Hayden Mullins 82',"Djibril Cissé 19', 54'",Luis García 82',Bobby Zamora 46',"Mohamed Sissoko 19'
Robbie Fowler 54'",
5540,Chris Foy,"26,422",20:45,0-0,,,Darius Vassell 71',,,Claudio Reyna 71',
5539,Rob Styles,"17,149",21:00,1-0,Steed Malbranque 45 +1',,,,Luís Boa Morte 45 +1',,
5534,Stephen Bennett,"38,326",13:45,0-0,Thierry Henry 83',,Robbie Keane 66',Edgar Davids 85',Emmanuel Adebayor 83',Edgar Davids 66',
5535,Uriah Rennie,"24,713",16:00,3-0,"Ricardo Vaz Tê 14'
Kevin Davies 20', 89'
Jared Borgetti 31'",,Darren Bent 76' (pen),,"Hidetoshi Nakata 14'
Kevin Davies 31'",,
5536,Mark Halsey,"35,420",16:00,0-0,,,,,,,
5537,Howard Webb,"52,311",16:00,2-0,"Nolberto Solano 30'
Shola Ameobi 40' (pen), 90 +1'",,,,Charles N'Zogbia 90 +1',,
5538,Mike Dean,"20,123",16:00,0-0,"Svetoslav Todorov 73'
Matthew Taylor 88' (pen)",,Tommy Miller 70',,Brian Priske 73',Julio Arca 70',
5533,Uriah Rennie,"25,287",20:45,0-0,"Nicky Butt 62'
Mikael Forssell 87'",,Robbie Savage 77',,"Julian Gray 62', 87'",,
5532,Peter Walton,"18,564",20:45,1-0,"Jimmy Bullard 25'
Henri Camara 56', 60'",,"Juan Pablo Ángel 53'
Liam Ridgewell 67'",,Reto Ziegler 56',Gabriel Agbonlahor 53',
5526,Howard Webb,"25,481",16:00,0-1,"Bryan Hughes 76'
Darren Bent 83'",,Andrés D'Alessandro 40',,"Darren Bent 76'
Hermann Hreidarsson 83'",Brian Priske 40',
5527,Rob Styles,"41,667",16:00,1-0,"Frank Lampard 28'
Didier Drogba 62'
Michael Essien 74'",,,Lee Carsley 47',"Didier Drogba 28'
Frank Lampard 62'
Claude Makelele 74'",,
5528,Martin Atkinson,"27,658",16:00,1-0,"Jimmy Floyd Hasselbaink 41'
Massimo Maccarone 56' (pen)",,,,Matthew Bates 41',,
5529,Chris Foy,"40,032",16:00,1-0,Justin Hoyte 32',,"Michael Chopra 59'
Alan Shearer 61' (pen)
Charles N'Zogbia 66'
Albert Luque 87'",,Dean Whitehead 32',"Titus Bramble 59'
Kieron Dyer 66'
Charles N'Zogbia 87'",
5531,Dermot Gallagher,"23,017",21:00,0-0,,,,,,,
5530,Mark Halsey,"36,141",13:45,0-2,Jermaine Jenas 53',,"Wayne Rooney 8', 36'",,,"Cristiano Ronaldo 8'
Park Ji-Sung 36'",
5524,Graham Poll,"40,158",13:00,1-1,"Milan Baros 10', 78'
Gary Cahill 56'",,Chris Sutton 25',,"Aaron Hughes 10'
Kevin Phillips 56'
James Milner 78'",Mikael Forssell 25',
5525,Alan Wiley,"29,142",15:30,0-1,,,Robbie Fowler 29',,,Fernando Morientes 29',
5518,Phil Dowd,"27,266",13:45,0-1,,Tal Ben Haim 90 +2',"John Terry 44'
Frank Lampard 59'",,,"Frank Lampard 44'
Hernán Crespo 59'",
5517,Mike Dean,"38,167",16:00,1-0,"Alyaksandr Hleb 44'
Robert Pires 76'
Dennis Bergkamp 89'",,Nigel Quashie 72',,"Thierry Henry 44'
Emmanuel Eboué 89'",,
5519,Howard Webb,"39,856",16:00,0-1,,,Robbie Keane 33' (pen),,,,
5520,Martin Atkinson,"19,146",16:00,2-1,"Luís Boa Morte 15', 30'",,Jason Euell 25',,Brian McBride 30',Hermann Hreidarsson 25',
5521,Uriah Rennie,"52,309",16:00,2-1,"Alan Shearer 28' (pen), 65'
Titus Bramble 36'",,Jimmy Bullard 5',,"Nolberto Solano 36'
Michael Chopra 65'",,
5522,Andre Marriner,"20,128",16:00,0-0,Gary O'Neil 54',,,,Svetoslav Todorov 54',,
5523,Stephen Bennett,"33,794",16:00,1-0,Shaun Newton 15',,,,Bobby Zamora 15',,
5516,Rob Styles,"72,519",20:45,0-0,,,,,,,
5515,Uriah Rennie,"20,230",21:00,0-1,Lomana Lua Lua 66',,Thierry Henry 36',,Andrés D'Alessandro 66',Emmanuel Adebayor 36',
5510,Mark Halsey,"33,303",13:00,0-0,,,,,,,
5511,Chris Foy,"41,823",13:00,2-1,"Didier Drogba 28'
Hernán Crespo 31'
John Terry 54'
William Gallas 69'",Maniche 16',James Collins 10',,Didier Drogba 69',Yossi Benayoun 10',
5512,Rob Styles,"44,938",15:00,1-0,Robbie Fowler 45 +2',,,,Peter Crouch 45 +2',,
5514,Alan Wiley,"31,279",16:00,0-2,George Boateng 79',,"George Boateng 29' (og) Own
Shola Ameobi 44'",,Mark Viduka 79',,
5513,Graham Poll,"70,908",17:00,0-0,"Wayne Rooney 54'
Park Ji-Sung 78'",,,,"Mikaël Silvestre 54'
Wayne Rooney 78'",,
5508,Dermot Gallagher,"36,168",13:45,1-0,"Paul Stalteri 44'
Michael Carrick 49'",,Georgios Samaras 52',,Teemu Tainio 49',Sylvain Distin 52',
5506,Peter Walton,"26,925",16:00,0-0,,,,,,,
5507,Stephen Bennett,"20,203",16:00,1-1,"Lomana Lua Lua 41'
Svetoslav Todorov 78'",,"Craig Bellamy 31', 62'",,"Gary O'Neil 41'
Matthew Taylor 78'","Robbie Savage 31'
David Bentley 62'",
5509,Howard Webb,"18,801",18:15,0-0,Andreas Johansson 49',,David Dunn 77',,Paul Scharner 49',Emile Heskey 77',
5505,Chris Foy,"26,493",20:45,1-0,Jirí Jarosik 37',,,,Damien Johnson 37',,
5504,Phil Dowd,"20,410",21:00,0-0,Shefki Kuqi 84',,Jason Roberts 52',,,Pascal Chimbonda 52',
5502,Michael Riley,"40,256",16:00,0-1,,,Lee Cattermole 42',,,Stewart Downing 42',
5503,Rob Styles,"33,964",17:00,0-0,,,,,,,
5496,Dermot Gallagher,"26,364",13:45,0-0,,,,,,,
5495,Martin Atkinson,"38,188",16:00,2-0,"Emmanuel Adebayor 18'
Thierry Henry 25', 46'
Robin van Persie 71'
Abou Diaby 80'",,,,"José Antonio Reyes 25'
Emmanuel Adebayor 46', 80'
Robert Pires 71'",,
5497,Alan Wiley,"27,718",16:00,1-1,Kevin Davies 26',,"Louis Saha 33'
Ruud van Nistelrooy 79'",,Kevin Nolan 26',"Mikaël Silvestre 33'
Louis Saha 79'",
5498,Mark Halsey,"38,093",16:00,2-1,"Leon Osman 5'
James McFadden 26'",,"Jon Stead 15'
Rory Delap 80'",,"James Beattie 5'
Phil Neville 26'","Chris Brown 15'
Dean Whitehead 80'",
5499,Chris Foy,"22,322",16:00,1-2,Steed Malbranque 10',Michael Brown 73',"Gary O'Neil 1', 62'
Lomana Lua Lua 24'",,Wayne Bridge 10',"Benjani 1', 24'
Lomana Lua Lua 62'",
5500,Mike Dean,"52,304",16:00,3-1,"Lee Bowyer 2'
Shola Ameobi 25'
Alan Shearer 30' (pen)",,Robbie Keane 19',Michael Dawson 61',Charles N'Zogbia 2',Aaron Lennon 19',
5501,Uriah Rennie,"27,371",18:15,0-2,,,"Robbie Fowler 7'
Djibril Cissé 38'",,,"Djibril Cissé 7'
Xabi Alonso 38'",
5494,Graham Poll,"69,522",21:00,1-0,Ruud van Nistelrooy 45 +1',,,,Park Ji-Sung 45 +1',,
5493,Chris Foy,"36,153",21:00,0-1,"Robbie Keane 68', 89' (pen)",,Curtis Davies 21',,Michael Carrick 68',Jonathan Greening 21',
5492,Howard Webb,"25,971",14:30,2-1,"Jimmy Floyd Hasselbaink 8' (pen), 47'
Mark Viduka 30'
Stuart Parnaby 90 +2'",,"Stelios Giannakopoulos 3'
Jay Jay Okocha 57'
Radhi Jaidi 81'",,"Jimmy Floyd Hasselbaink 30'
Franck Queudrue 47'
Yakubu 90 +2'",Ricardo Gardner 81',
5490,Mark Halsey,"26,987",15:00,2-1,"Darren Bent 23' (pen)
Lee Bowyer 36' (og) Own
Jay Bothroyd 89'",,Scott Parker 35',,Dennis Rommedahl 89',Alan Shearer 35',
5491,Mike Dean,"69,070",17:00,2-0,"Ryan Giggs 3', 15'
Wayne Rooney 83'",,,,"Wayne Rooney 15'
Cristiano Ronaldo 83'",,
5485,Lee Mason,"32,605",17:00,0-0,,,,,,,
5486,Rob Styles,"42,254",17:00,2-0,"Didier Drogba 30', 33'",,,Sylvain Distin 45 +1',"Eidur Gudjohnsen 30'
Asier Del Horno 33'",,
5488,Peter Walton,"29,593",17:00,0-1,,,Steven Reid 15',,,Ryan Nelsen 15',
5487,Phil Dowd,"45,070",14:45,1-0,"Phil Neville 45 +1' (og) Own
Luis García 47'
Harry Kewell 84'",Steven Gerrard 18',Tim Cahill 61',Andy van der Meijde 73',"Peter Crouch 47'
Steve Finnan 84'",Leon Osman 61',
5489,Dermot Gallagher,"18,963",17:00,1-0,Lee McCulloch 45 +1',,"Marlon Harewood 52'
Nigel Reo-Coker 90 +2'",,Jimmy Bullard 45 +1',Teddy Sheringham 90 +2',
5484,Michael Riley,"52,306",15:30,1-2,Shola Ameobi 41',Jean-Alain Boumsong 51',"Peter Crouch 10'
Steven Gerrard 34'
Djibril Cissé 52' (pen)",,Scott Parker 41',"Jan Kromkamp 10'
Peter Crouch 34'",
5483,Mike Dean,"22,486",18:00,1-0,Luís Boa Morte 17',,,William Gallas 90 +3',,,
5479,Rob Styles,"36,507",14:45,3-0,"James McFadden 15'
Tim Cahill 22', 90'
Leon Osman 44'",,Gabriel Agbonlahor 64',,"James Beattie 15'
Mikel Arteta 44'
James McFadden 90'",Lee Hendrie 64',
5475,Dermot Gallagher,"38,223",17:00,2-0,"Robert Pires 13'
Emmanuel Adebayor 32'
Alyaksandr Hleb 49'",,,,Thierry Henry 13',,
5477,Chris Foy,"18,681",17:00,2-1,"Craig Bellamy 11', 68'
Morten Gamst Pedersen 28'",Robbie Savage 54',"Mark Viduka 16'
Fábio Rochemback 63'",,"Brett Emerton 11'
Morten Gamst Pedersen 68'","James Morrison 16', 63'",
5478,Phil Dowd,"23,568",17:00,0-0,"Kevin Davies 47'
Kevin Nolan 85'",,,,Stelios Giannakopoulos 47',,
5480,Martin Atkinson,"42,444",17:00,0-0,,,Lee McCulloch 55',,,Jimmy Bullard 55',
5481,Howard Webb,"27,410",17:00,0-1,Nathan Ellington 78',,"Louis Saha 16', 64'",,Jonathan Greening 78',"Ryan Giggs 16'
Cristiano Ronaldo 64'",
5482,Alan Wiley,"34,407",17:00,0-3,"Teddy Sheringham 69'
Yossi Benayoun 90 +1'",,"Lomana Lua Lua 18'
Sean Davis 24'
Pedro Mendes 42'
Svetoslav Todorov 77'",,Bobby Zamora 90 +1',"Matthew Taylor 18'
Brian Priske 24'
Andrés D'Alessandro 42'
Lomana Lua Lua 77'",
5476,Uriah Rennie,"26,398",19:15,0-0,,,"Aaron Lennon 65'
Robbie Keane 77'",,,"Jermain Defoe 65'
Jermaine Jenas 77'",
5474,Alan Wiley,"44,329",22:00,2-1,"Robbie Fowler 16'
Michael Brown 34' (og) Own
Fernando Morientes 70'
Peter Crouch 89'
Stephen Warnock 90 +1'",,Collins John 25',,"Luis García 16'
Steven Gerrard 89'",Luís Boa Morte 25',
5473,Rob Styles,"67,858",15:30,2-0,"Wayne Rooney 8', 12'",,,,John O'Shea 12',,
5472,Alan Wiley,"24,813",17:00,0-0,"Darren Bent 73', 86'",,Mark Viduka 81',,"Chris Powell 73'
Luke Young 86'",Franck Queudrue 81',
5471,Stephen Bennett,"38,221",18:00,1-0,"Thierry Henry 21', 83'",,Luis García 75',Xabi Alonso 81',Cesc Fàbregas 21',,
5464,Michael Riley,"28,041",14:00,0-0,Mikael Forssell 49' (pen),,Nathan Ellington 70',,,Kanu 70',
5467,Graham Poll,"42,237",14:45,1-1,"Michael Essien 14'
William Gallas 90 +2'",,Jermaine Jenas 45',,"Shaun Wright-Phillips 14'
Damien Duff 90 +2'",Michael Dawson 45',
5466,Mike Dean,"24,461",17:00,3-0,"Stelios Giannakopoulos 12', 33'
Gary Speed 45 +2'
Henrik Pedersen 81'",,Teddy Sheringham 78',,"Kevin Nolan 33'
Ricardo Gardner 45 +2'
Ricardo Vaz Tê 81'",,
5468,Uriah Rennie,"36,515",17:00,2-0,"James Beattie 14' (pen), 36'
James McFadden 55'",,Collins John 86' (pen),,"Tim Cahill 36'
James Beattie 55'",,
5469,Mark Halsey,"19,601",17:00,0-0,"Pedro Mendes 60', 90 +3'",,Richard Dunne 83',,,Georgios Samaras 83',
5470,Michael Riley,"31,194",17:00,0-1,,,Henri Camara 8',,,,
5465,Dermot Gallagher,"21,932",19:15,0-0,"Andrew Todd 48'
Craig Bellamy 71'",,,,,,
5463,Stephen Bennett,"23,798",22:00,0-0,Paul Scharner 59',,"Cristiano Ronaldo 73'
Pascal Chimbonda 90 +2' (og) Own",,,Ruud van Nistelrooy 73',
5461,Chris Foy,"42,200",15:30,2-1,"Georgios Samaras 9', 10'",,Kevin Kyle 25',Gary Breen 85',Trevor Sinclair 10',Gary Breen 25',
5462,Howard Webb,"36,080",18:00,2-1,"Robbie Keane 9', 42'
Mido 69'",,"Florent Sinama-Pongolle 43'
Craig Bellamy 67'",,"Mido 9'
Aaron Lennon 69'","Craig Bellamy 43'
Florent Sinama-Pongolle 67'",
5459,Mark Halsey,"26,444",14:45,0-0,Kanu 88',,"Didier Drogba 51'
Joe Cole 74'",Arjen Robben 62',,,
5454,Mike Dean,"30,194",17:00,1-0,Milan Baros 35',,,,James Milner 35',,
5455,Rob Styles,"22,397",17:00,0-2,,,"Thierry Henry 31', 76'
Emmanuel Adebayor 35'
Cesc Fàbregas 86'",,,"Abou Diaby 31'
Fredrik Ljungberg 35', 76'
Mathieu Flamini 86'",
5457,Graham Poll,"28,141",17:00,1-0,Mark Viduka 45',,,,Lee Cattermole 45',,
5458,Alan Wiley,"52,046",17:00,2-0,"Nolberto Solano 34'
Alan Shearer 45'
Shola Ameobi 69'",,Kevin Davies 71',,"Charles N'Zogbia 45'
Emre 69'",Radhi Jaidi 71',
5460,Michael Riley,"34,688",17:00,2-1,"Marlon Harewood 10'
Dean Ashton 23'",,"Leon Osman 18'
James Beattie 71'",,"Yossi Benayoun 10'
Marlon Harewood 23'",Mikel Arteta 18',
5456,Martin Atkinson,"44,923",19:15,0-0,,,,,,,
5452,Dermot Gallagher,"45,061",14:15,1-0,Harry Kewell 40',,,Joey Barton 52',Steven Gerrard 40',,
5451,Phil Dowd,"23,104",15:00,1-1,"Heidar Helguson 45' (og) Own
Kevin Nolan 68'",,Heidar Helguson 22',,Kevin Davies 68',Simon Elliott 22',
5453,Mike Dean,"23,954",17:00,0-2,,Nigel Quashie 54',"Jimmy Floyd Hasselbaink 17'
Ronnie Wallwork 44' (og) Own",,,Yakubu 17',
5446,Stephen Bennett,"29,257",17:00,1-0,Emile Heskey 39',,,,Jermaine Pennant 39',,
5447,Uriah Rennie,"22,504",17:00,1-0,Morten Gamst Pedersen 18',,,,Craig Bellamy 18',,
5448,Chris Foy,"26,587",17:00,0-0,,,,,,,
5450,Graham Poll,"51,916",19:15,0-0,"Nolberto Solano 64', 76'",,,,"Charles N'Zogbia 64'
Lee Bowyer 76'",,
5449,Michael Riley,"42,269",17:00,0-0,"Frank Lampard 65'
Arjen Robben 78'",,,,"Didier Drogba 65'
Eidur Gudjohnsen 78'",,
5445,Uriah Rennie,"51,545",21:45,0-0,,,,,,,
5444,Uriah Rennie,"35,676",15:15,1-1,"Mido 23'
Jermain Defoe 68'",,"Andreas Johansson 10', 67'",,"Paul Stalteri 23'
Mido 68'","Paul Scharner 10'
Henri Camara 67'",
5443,Keith Stroud,"18,220",22:00,1-0,"Craig Bellamy 38', 63'",,,,Sergio Peter 63',,
5442,Graham Poll,"45,012",22:00,0-0,Luis García 87',,,,,,
5441,Dermot Gallagher,"30,643",22:00,1-0,"Marlon Harewood 10', 63'
Dean Ashton 65'",,,,Yossi Benayoun 65',,
5440,Marco Gabriele,"34,700",15:30,0-1,Daryl Murphy 89',,Robbie Keane 38',,Julio Arca 89',Jermain Defoe 38',
