Match ID,Referee,Attendance,Kick Off,HT Score,Home Goals,Home RC events,Away Goals,Away RC events,Home Assists,Away Assists,King of the Match,Home Possession %,Away Possession %,Home Shots on target,Away Shots on target,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,Home Yellow cards,Away Yellow cards,Home Red cards,Away Red cards,Home Fouls conceded,Away Fouls conceded
46719,Jonathan Moss,"73,556",16:00,2-0,"Andreas Pereira 17'
Davy Pröpper 19' (og) Own
Marcus Rashford 66'",,Lewis Dunk 64',,"Anthony Martial 17', 66'",Pascal Groß 64',Anthony Martial,42.7,57.3,11,2,21,6,577,709,359,483,24,28,11,13,5,2,0,4,2,5,0,0,10,14
46724,Anthony Taylor,"31,607",16:00,1-0,"Rúben Neves 41'
Raúl Jiménez 84'",,Trézéguet 90 +2',,"João Moutinho 41'
Adama Traoré 84'",,Raúl Jiménez,50.1,49.9,5,4,17,13,594,589,385,375,14,20,28,15,6,3,0,1,4,3,0,0,17,8
46718,Michael Oliver,"53,324",18:30,2-0,"Fabinho 6'
Mohamed Salah 13'
Sadio Mané 51'",,Bernardo Silva 78',,"Andrew Robertson 13'
Jordan Henderson 51'",,Sadio Mané,45,55,5,3,12,18,609,717,416,507,13,15,27,24,4,13,3,5,0,2,0,0,10,5
46716,Mike Dean,"40,525",14:30,0-0,"Tammy Abraham 52'
Christian Pulisic 79'",,,,Willian 52',,Tammy Abraham,60.6,39.4,5,1,23,3,774,559,572,377,19,19,9,21,7,0,0,0,3,2,0,0,9,17
46715,Kevin Friend,"20,255",17:00,2-0,"Ashley Barnes 11'
Chris Wood 44'
Roberto Jiménez 54' (og) Own",,,,"James Tarkowski 11'
Dwight McNeil 44'",,Nick Pope,40,60,12,4,14,7,496,633,299,459,7,14,21,21,11,4,7,1,2,1,0,0,17,10
46720,Martin Atkinson,"44,424",17:00,1-1,"DeAndre Yedlin 42'
Ciaran Clark 52'",,Harry Wilson 14',,,Ryan Fraser 14',Ciaran Clark,33.7,66.3,9,3,21,15,486,781,279,559,17,15,30,24,5,4,4,1,2,0,0,0,10,5
46722,Paul Tierney,"29,754",17:00,0-1,Danny Ings 50',,"Tom Davies 4'
Richarlison 75'",,,"Mason Holgate 4'
Djibril Sidibé 75'",Richarlison de Andrade,47.3,52.7,3,5,4,24,543,593,341,373,10,24,24,21,5,9,2,0,1,1,0,0,12,12
46723,Graham Scott,"59,781",17:00,0-0,Son Heung-Min 58',,George Baldock 78',,,David McGoldrick 78',Heung-Min Son,61.1,38.9,5,4,17,14,806,591,602,378,19,27,19,23,4,4,1,6,2,2,0,0,6,9
46717,Chris Kavanagh,"32,209",19:30,0-0,"Jamie Vardy 68'
James Maddison 75'",,,,"Youri Tielemans 68'
Jamie Vardy 75'",,Jamie Vardy,50.2,49.8,7,1,19,8,690,673,486,478,19,18,19,15,5,4,1,2,1,1,0,0,10,10
46721,Andre Marriner,"27,074",22:00,0-1,,,"Gerard Deulofeu 2'
Andre Gray 52'",Christian Kabasele 65',,Gerard Deulofeu 52',Gerard Deulofeu,65.8,34.2,5,2,17,12,832,522,597,316,18,25,9,36,10,4,1,0,1,2,0,1,7,13
