Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,Manchester United,1050,652,228,170,2005,941,1064,2184
2,Arsenal,1050,569,265,216,1861,1030,831,1972
3,Chelsea,1050,566,259,225,1797,1019,778,1957
4,Liverpool,1050,540,263,247,1802,1056,746,1883
5,Tottenham Hotspur,1050,449,262,339,1565,1323,242,1609
6,Everton,1050,381,298,371,1370,1329,41,1441
7,Manchester City,860,399,197,264,1409,988,421,1394
8,Newcastle United,932,350,237,345,1260,1253,7,1287
9,Aston Villa,936,319,277,340,1134,1206,-72,1234
10,West Ham United,894,293,232,369,1078,1289,-211,1111
11,Blackburn Rovers,696,262,184,250,927,907,20,970
12,Southampton,784,240,216,328,948,1116,-168,936
13,Leeds United,468,189,125,154,641,573,68,692
14,Middlesbrough,574,165,169,240,648,794,-146,661
15,Leicester City,510,165,138,207,652,726,-74,633
16,Sunderland,608,153,159,296,612,904,-292,618
17,Fulham,532,157,141,234,604,778,-174,612
18,Bolton Wanderers,494,149,128,217,575,745,-170,575
19,West Bromwich Albion,456,112,128,216,475,696,-221,464
20,Stoke City,380,116,109,155,398,525,-127,457
21,Crystal Palace,400,115,99,186,435,580,-145,444
22,Coventry City,354,99,112,143,387,490,-103,409
23,Sheffield Wednesday,316,101,89,126,409,453,-44,392
24,Wimbledon,316,99,94,123,384,472,-88,391
25,Norwich City,328,91,93,144,376,538,-162,366
26,Charlton Athletic,304,93,82,129,342,442,-100,361
27,Wigan Athletic,304,85,76,143,316,482,-166,331
28,Swansea City,266,82,66,118,306,383,-77,312
29,Queens Park Rangers,278,81,65,132,339,431,-92,308
30,Birmingham City,266,73,82,111,273,360,-87,301
31,Portsmouth,266,79,65,122,292,380,-88,293
32,Derby County,266,68,70,128,271,420,-149,274
33,Nottingham Forest,198,60,59,79,229,287,-58,239
34,Watford,240,60,56,124,248,400,-152,236
35,Ipswich Town,202,57,53,92,219,312,-93,224
36,Burnley,202,55,47,100,207,315,-108,212
37,Wolverhampton Wanderers,202,51,56,95,219,342,-123,209
38,Bournemouth,164,51,40,73,216,280,-64,193
39,Hull City,190,41,48,101,181,323,-142,171
40,Sheffield United,134,36,41,57,141,177,-36,149
41,Reading,114,32,23,59,136,186,-50,119
42,Brighton and Hove Albion,88,22,25,41,84,131,-47,91
43,Oldham Athletic,84,22,23,39,105,142,-37,89
44,Cardiff City,76,17,13,46,66,143,-77,64
45,Bradford City,76,14,20,42,68,138,-70,62
46,Huddersfield Town,76,12,17,47,50,134,-84,53
47,Blackpool,38,10,9,19,55,78,-23,39
48,Barnsley,38,10,5,23,37,82,-45,35
49,Swindon Town,42,5,15,22,47,100,-53,30
